LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(µm),(µm),(µm),(sec),,(µm),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(µm),(µm),(µm),(µm),(radians),,(µm^2),(µm),,,
ID7520,7520,13,3780.0,6.50445470777019,112.41071851002435,0.0,188.0,188,10.380013326043867,1,,3001.1147237642085,3232.0,1279.0,3859.0,1.1353217E7,576.6137844587018,0.3848609460271384,2.892845554708949,-2.103193018923073,0.009556195528960837,12.800188345196993,11.00826400471369,-1.3664832831679428,1.1627799205865712,338.4898846234295,72.28732839861205,0.8140127552315016,0.983378781976367,3.9290660256345484
ID7267,7267,13,1237.0,3.955958097304562,119.29995762875423,0.0,179.0,179,5.941242988729549,1,,2925.7893462469733,3032.0,1722.0,3671.0,3625053.0,400.05261570282346,0.1791749881577375,2.2225680208698098,-2.2660580841303433,-0.8816813382606268,9.298665015558308,5.810994391373442,0.6666548217835206,1.6001848202370312,110.89309438145101,41.77533567374579,0.7984991714619659,0.9876592356687899,3.967050208356872
ID7523,7523,13,2403.0,7.420892305998657,107.717094694669,0.0,193.0,193,8.272494190519255,1,,3054.86683312526,3247.0,1446.0,4067.0,7340845.0,599.6321774950959,0.2849903320415113,2.2597875741198314,-0.5162685903966275,0.027719371987819666,10.655627662647364,7.022122892816043,0.7093809069767008,1.5174367958653308,214.99225472582796,56.416326516137104,0.8488345926146255,0.9810320212115032,3.8476308389448057
ID8291,8291,13,2632.0,15.255532227383187,112.34466495845307,0.0,224.0,224,8.652455104647617,1,,4003.516153553782,4148.0,1789.0,5403.0,1.0533251E7,762.195802080111,0.4113079833344644,3.061613535142544,-0.031186783613117587,-0.004974835971319046,10.80644305959275,6.976234968308766,0.010451725099418718,1.5490365660967025,235.1952690992321,59.18159110968206,0.8438498385075145,0.9733629300776916,3.8589783868315095
ID8292,8292,13,3199.0,11.875497950315866,101.05620577577976,0.0,225.0,225,9.531876126746946,1,,3411.218397997497,3710.0,989.0,5089.0,1.0902254E7,1044.9796867473626,0.29550855270262555,1.489228857293367,-0.07596207341325427,0.14085724677944977,12.44875332078524,7.442913596507983,2.9818994431890453,1.6725645352951382,285.4346234260162,67.09955915830312,0.7966676503486193,0.9532766084490224,3.9716076703444245
ID8037,8037,13,2572.0,9.525617828580438,101.18264968128805,0.0,216.0,216,8.54240744837903,1,,3499.9605776736926,3705.0,1433.0,4964.0,8966899.0,847.8728463260493,0.24633313074139354,1.6317405568148635,-0.6124626246740447,0.19711431316460482,12.278776332056092,6.6632200041111895,0.03004868903835589,1.8427691603279073,229.2505768167924,60.679822644021954,0.782405141270191,0.9633734034560482,4.007643521356351
ID7783,7783,13,3890.0,6.684285100764195,110.61803749452399,0.0,198.0,198,10.526328135414724,1,,3225.4794450154163,3426.0,1538.0,4266.0,1.2553566E7,604.1044282278287,0.40059712636263833,3.0542659723158336,-1.8928875404489898,0.02162488610597109,12.817071344715012,11.06225217882686,-1.484761791932135,1.1586312748543985,348.0997255311327,74.0167608496571,0.798460422198449,0.9752066115702477,3.967146467610725
ID8039,8039,13,2815.0,10.226483796674843,113.10292125284768,0.0,216.0,216,8.952283115388783,1,,3452.4628510487023,3666.0,1466.0,5117.0,9711778.0,829.9581103432764,0.21285182935999675,1.4600659607398931,-0.3481594767305117,-0.19289654878234172,12.124551615370883,7.0244282434716485,0.11035243776677439,1.7260553023143455,251.7778317818274,62.43087032853483,0.8117617331334909,0.981358885017422,3.934509920785763
ID8296,8296,13,3450.0,16.268938934254635,114.15259091505222,0.0,225.0,225,9.913798718440018,1,,3406.7013024602024,3679.0,932.0,5228.0,1.1770153E7,1179.1198995951836,0.3526851370337276,1.5065950045592535,-0.08144566835834602,0.01311732841188854,12.504256137933446,7.9554563111332826,0.027740932182592992,1.5717836474614706,308.7664232112306,68.76478277346622,0.8205551586136934,0.9746049661399546,3.913371176635975
ID8555,8555,13,2545.0,15.015678942975406,101.07424656255827,0.0,235.0,235,8.50568727763298,1,,4474.651848937844,4735.0,2102.0,6160.0,1.1374565E7,899.0104667453621,0.45912384691450864,3.132291655628481,0.05685327976659732,0.267861110937196,10.63027003763041,7.126895883208367,2.6977092289260862,1.4915708341799014,227.28391170079732,58.89375255082152,0.8234554433448016,0.9773207764751104,3.906473473647306
